t,count
1504530277,321
1504530278,453
1504530279,585
1504530280,717
1504530281,849
1504530285,987
1504530286,1040
1504530286,1040
1504530286,1137
1504530286,1202
1504530287,1259
1504530288,1359
1504530291,1445
1504530291,1530
1504530291,1583
1504530297,1667
1504530299,1756
1504530307,1859
1504530313,1984
1504530329,2105
1504530329,2216
1504530333,2318
1504530338,2416
1504530342,2525
1504530342,2657
1504530343,2736
1504530346,2793
1504530346,2937
1504530347,3061
1504530348,3162
1504530349,3285
1504530351,3431
1504530352,3573
1504530353,3702
1504530354,3791
1504530355,3878
1504530355,3967
1504530355,4028
1504530361,4175
1504530362,4304
1504530363,4403
1504530363,4456
1504530363,4532
1504530364,4559
1504530364,4641
1504530365,4704
1504530365,4814
1504530368,4931
1504530369,5035
1504530380,5187
1504530393,5341
1504530394,5423
1504530411,5588
1504530412,5688
1504530412,5746
1504530412,5788
1504530413,5844
1504530414,5960
1504530415,6073
1504530421,6221
1504530424,6352
1504530424,6441
1504530425,6478
1504530425,6539
1504530426,6641
1504530427,6726
1504530427,6738
1504530430,6801
1504530430,6801
1504530431,6801
1504530448,0
1504530449,0
1504530450,0
1504530451,68
1504530452,199
1504530453,331
1504530454,463
1504530455,595
1504530456,727
1504530457,860
1504530458,992
1504530459,1124
1504530496,0
1504530497,0
1504530498,0
1504530499,53
1504530500,185
1504530501,317
1504530502,449
1504530503,581
1504530504,713
1504530505,845
1504530510,974
1504530511,1014
1504530511,1023
1504530511,1166
1504530512,1230
1504530512,1241
1504530525,1342
1504530528,1438
1504530528,1502
1504530528,1588
1504530528,1625
1504530528,1625
1504530528,1625
1504530528,1629
1504530528,1629
1504530528,1630
1504530528,1630
1504530528,1636
1504530528,1636
1504530528,1638
1504530528,1638
1504530528,1640
1504530529,1701
1504530532,1793
1504530539,1915
1504530550,2012
1504530551,2114
1504530551,2212
1504530551,2285
1504530552,2368
1504530552,2463
1504530553,2478
1504530553,2498
1504530555,2540
1504530556,2610
1504530556,2665
1504530556,2721
1504530615,2790
1504530615,2842
1504530615,2943
1504530615,3036
1504530615,3098
1504530615,3148
1504530615,3204
1504530615,3251
1504530615,3312
1504530615,3387
1504530615,3472
1504530615,3540
1504530615,3610
1504530615,3673
1504530615,3758
1504530615,3810
1504530615,3871
1504530615,3920
1504530615,3992
1504530615,4052
1504530635,0
1504530636,0
1504530637,0
1504530638,38
1504530639,170
1504530640,302
1504530641,434
1504530642,566
1504530643,698
1504530644,830
1504530651,959
1504530651,959
1504530651,1019
1504530652,1116
1504531063,1196
1504531063,1276
1504531063,1350
1504531063,1421
1504531063,1476
1504531063,1547
1504531063,1646
1504531122,0
1504531123,0
1504531124,0
1504531125,59
1504531126,191
1504531127,323
1504531128,455
1504531129,587
1504531130,719
