t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504683276,91,31557113,31557113.000000,31557113,0.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000
1504683276,91,31557113,31557113.000000,31557113,0.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000
1504683276,91,31557113,31557113.000000,31557113,0.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000
1504683276,91,31557113,31557113.000000,31557113,0.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000
1504683276,91,31557113,31557113.000000,31557113,0.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000,31557113.000000
1504683282,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504683283,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504683284,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504683285,4,2574187,643546.750000,0,1287093.500000,0.000000,1930640.250000,2574187.000000,2574187.000000,2574187.000000,2574187.000000
1504683286,5,16329890,3780815.400000,0,7103149.313486,0.000000,9452038.500000,16329890.000000,16329890.000000,16329890.000000,16329890.000000
1504683287,6,18887176,6298542.166667,0,8854234.724993,1287093.500000,16969211.500000,18887176.000000,18887176.000000,18887176.000000,18887176.000000
1504683288,7,21065659,8408130.285714,0,9822614.792504,2574187.000000,18887176.000000,21065659.000000,21065659.000000,21065659.000000,21065659.000000
1504683289,8,21065659,9633046.250000,0,9731583.624372,9452038.500000,18717246.500000,21065659.000000,21065659.000000,21065659.000000,21065659.000000
1504683290,9,21065659,10389321.777778,0,9381541.926763,16329890.000000,18547317.000000,21065659.000000,21065659.000000,21065659.000000,21065659.000000
1504683302,22,21065659,12460351.272727,0,6060266.328099,13785847.000000,15477723.500000,20738886.550000,21065659.000000,21065659.000000,21065659.000000
1504683302,22,21065659,12460351.272727,0,6060266.328099,13785847.000000,15477723.500000,20738886.550000,21065659.000000,21065659.000000,21065659.000000
1504683302,22,21065659,12460351.272727,0,6060266.328099,13785847.000000,15477723.500000,20738886.550000,21065659.000000,21065659.000000,21065659.000000
1504683302,22,21065659,12460351.272727,0,6060266.328099,13785847.000000,15477723.500000,20738886.550000,21065659.000000,21065659.000000,21065659.000000
1504683302,22,21065659,12460351.272727,0,6060266.328099,13785847.000000,15477723.500000,20738886.550000,21065659.000000,21065659.000000,21065659.000000
1504683302,22,21065659,12460351.272727,0,6060266.328099,13785847.000000,15477723.500000,20738886.550000,21065659.000000,21065659.000000,21065659.000000
1504683302,22,21065659,12460351.272727,0,6060266.328099,13785847.000000,15477723.500000,20738886.550000,21065659.000000,21065659.000000,21065659.000000
1504683302,22,21065659,12460351.272727,0,6060266.328099,13785847.000000,15477723.500000,20738886.550000,21065659.000000,21065659.000000,21065659.000000
1504683302,22,21065659,12460351.272727,0,6060266.328099,13785847.000000,15477723.500000,20738886.550000,21065659.000000,21065659.000000,21065659.000000
1504683302,22,21065659,12460351.272727,0,6060266.328099,13785847.000000,15477723.500000,20738886.550000,21065659.000000,21065659.000000,21065659.000000
1504683302,22,21065659,12460351.272727,0,6060266.328099,13785847.000000,15477723.500000,20738886.550000,21065659.000000,21065659.000000,21065659.000000
1504683302,22,21065659,12460351.272727,0,6060266.328099,13785847.000000,15477723.500000,20738886.550000,21065659.000000,21065659.000000,21065659.000000
1504683303,22,21065659,12460351.272727,0,6060266.328099,13785847.000000,15477723.500000,20738886.550000,21065659.000000,21065659.000000,21065659.000000
1504683304,23,21065659,12470622.565217,0,5921136.139591,13785847.000000,15193668.000000,20629962.400000,21065659.000000,21065659.000000,21065659.000000
1504683305,24,21065659,12445888.125000,0,5792252.995303,13785847.000000,14841712.750000,20521038.250000,21065659.000000,21065659.000000,21065659.000000
1504683322,51,21065659,11722604.117647,0,3988408.575919,11079685.000000,13785847.000000,18479345.200000,20978519.680000,21065659.000000,21065659.000000
1504683331,52,21065659,11710240.288462,0,3950119.244845,11079685.000000,13785847.000000,18445359.300000,20934950.020000,21065659.000000,21065659.000000
1504683333,54,21065659,11686886.388889,0,3876735.868205,11079685.000000,13785847.000000,18377387.500000,20847810.700000,21065659.000000,21065659.000000
