t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504495818,19,20222379,9579021.631579,0,10373861.540831,0.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000
1504495819,20,20222379,10111189.500000,0,10373861.540831,10111189.500000,20222379.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000
1504495820,21,20222379,10592674.714286,0,10349132.395906,20222379.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000,20222379.000000
1504502643,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502644,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502645,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502646,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502647,5,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502648,6,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502649,7,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502650,8,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502651,9,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502652,10,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502653,11,21463229,1951202.636364,0,6471407.034770,0.000000,0.000000,21463229.000000,21463229.000000,21463229.000000,21463229.000000
1504502654,12,21463229,3577204.833333,0,8354550.557398,0.000000,0.000000,21463229.000000,21463229.000000,21463229.000000,21463229.000000
1504502655,13,21463229,4953052.846154,0,9412248.557337,0.000000,10731614.500000,21463229.000000,21463229.000000,21463229.000000,21463229.000000
1504502656,14,21463229,6132351.142857,0,10062116.954489,0.000000,21463229.000000,21463229.000000,21463229.000000,21463229.000000,21463229.000000
1504502657,15,21463229,7154409.666667,0,10472983.373406,0.000000,21463229.000000,21463229.000000,21463229.000000,21463229.000000,21463229.000000
1504502658,16,21463229,8048710.875000,0,10731614.500000,0.000000,21463229.000000,21463229.000000,21463229.000000,21463229.000000,21463229.000000
