t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504502659,17,601089,495014.470588,0,236199.499806,601089.000000,601089.000000,601089.000000,601089.000000,601089.000000,601089.000000
1504502660,18,601089,500907.500000,0,230507.109091,601089.000000,601089.000000,601089.000000,601089.000000,601089.000000,601089.000000
1504502661,19,601089,506180.210526,0,225188.571559,601089.000000,601089.000000,601089.000000,601089.000000,601089.000000,601089.000000
1504502662,20,601089,510925.650000,0,220207.481600,601089.000000,601089.000000,601089.000000,601089.000000,601089.000000,601089.000000
1504502663,21,601089,515219.142857,0,215531.630867,601089.000000,601089.000000,601089.000000,601089.000000,601089.000000,601089.000000
1504502690,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502691,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502692,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502693,4,700312,175078.000000,0,350156.000000,0.000000,525234.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502694,5,700312,280124.800000,0,383576.679692,0.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502695,6,700312,350156.000000,0,383576.679692,350156.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502696,7,700312,400178.285714,0,374332.509692,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502697,8,700312,437695.000000,0,362445.893996,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502698,9,700312,466874.666667,0,350156.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502699,10,700312,490218.400000,0,338282.834396,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502700,11,700312,509317.818182,0,327115.291550,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502701,12,700312,525234.000000,0,316728.019116,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502702,13,700312,538701.538462,0,307107.127808,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502703,14,700312,550245.142857,0,298203.573916,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502704,15,700312,560249.600000,0,289956.715196,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502705,16,700312,569003.500000,0,282304.792411,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502706,17,700312,576727.529412,0,275189.438016,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502707,18,700312,583593.333333,0,268557.392635,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502708,19,700312,589736.421053,0,262360.913152,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502709,20,700312,595265.200000,0,256557.584408,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
1504502710,21,700312,600267.428571,0,251109.881358,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000,700312.000000
