t,count
1493876840,90
1493876841,91
1493876842,92
1493876843,93
1493876844,94
1493876845,95
1493876846,96
1493876847,97
1493876848,98
1493876849,99
1493876850,100
1493876851,101
1493876852,102
1493876853,103
1493876854,104
1493876855,105
1493876856,106
1493876978,0
1493876979,0
1493876980,3
1493876981,3
1493876982,5
1493876983,5
1493876984,9
1493876985,10
1493876986,10
1493876987,12
1493876988,13
1493876989,14
1493876990,15
1493876991,16
1493876992,17
1493876993,18
1493876994,19
1493876995,20
1493876996,21
1493876997,22
1493876998,23
1493876999,24
1493877000,25
1493877001,26
1493877002,27
1493877003,28
1493877004,29
1493877005,29
1493877006,31
1493877007,32
1493877008,35
1493877009,36
1493877010,37
1493877011,38
1493877012,39
1493877013,40
1493877014,41
1493877015,42
1493877016,43
1493877017,44
1493877018,45
1493877019,46
1493877020,47
1493877021,48
1493877022,49
1493877023,50
1493877024,51
1493877025,52
1493877026,53
1493877027,54
1493877028,55
1493877029,56
1493877030,57
1493877031,58
1493877032,59
1493877033,60
1493877034,61
1493877035,62
1493877036,63
1493877037,64
1493877038,65
1493877039,66
1493877040,67
1493877041,68
1493877042,69
1493877043,70
1493877044,71
1493877045,72
1493877046,73
1493877047,74
1493877048,75
1493877049,76
1493877050,77
1493877051,78
1493877052,79
1493877053,80
1493877054,81
1493877055,82
1493877056,83
1493877057,84
1493877058,85
1493877059,86
1493877060,87
1493877061,88
1493877062,89
1493877063,90
1493877064,91
1493877065,92
1493877066,93
1493877067,94
1493877068,95
1493877069,96
1493877070,97
1493877071,98
1493877072,99
1493877073,100
1493877074,101
1493877075,102
1493877076,103
1493877077,104
1493877078,105
1493877079,106
1493877080,107
1493878944,0
1493878945,0
1493878946,3
1493878947,4
1493878948,5
1493878949,6
1493878950,9
1493878951,10
1493878952,11
1493878953,12
1493878954,13
1493878955,14
1493878956,15
1493878957,16
1493878957,17
1493878959,18
1493878960,19
1493878960,20
1493878962,21
1493878962,22
1493878963,23
1493878964,24
1493878965,25
1493878966,26
1493878967,27
1493878968,28
1493878969,29
1493878970,30
1493878971,31
1493878972,32
1493878973,33
1493878974,36
1493878975,37
1493878976,38
1493878977,39
1493878978,40
1493878979,41
1493878980,42
1493878981,43
1493878982,44
1493878983,45
1493878984,46
1493878985,47
1493878986,48
1493878987,49
1493878988,50
1493878989,51
1493878990,52
1493878991,53
1493878992,54
1493878993,55
1493878994,56
1493878995,57
1493878996,58
1493878997,59
1493878998,60
1493878999,61
1493879000,62
1493879001,63
1493879002,64
1493879003,65
1493879004,66
1493879005,67
1493879006,68
1493879007,69
1493879008,70
1493879009,71
1493879010,72
1493879011,73
1493879012,74
1493879013,75
1493879014,76
1493879015,77
1493879016,78
1493879017,79
1493879018,80
1493879019,81
1493879020,82
1493879021,83
1493879022,84
1493879023,85
1493879024,86
1493879025,87
1493879026,88
1493879027,89
1493879028,90
1493879029,91
1493879030,92
1493879031,93
1493879032,94
1493879033,95
1493879034,96
1493879035,97
1493879036,98
1493879037,99
1493879038,100
1493879039,101
1493879040,102
1493879041,103
1493879042,104
1493879043,105
1493879044,106
1493879045,107
1493879596,0
1493879597,0
1493879598,3
1493879599,3
1493879600,4
1493879601,5
1493879602,8
1493879603,9
1493879604,10
1493879605,11
1493879606,12
1493879607,13
1493879608,14
1493879609,15
1493879610,16
1493879611,17
1493879612,18
1493879613,19
1493879614,20
1493879615,21
1493879616,22
1493879617,23
1493879618,24
1493879619,25
1493879620,26
1493879621,27
1493879622,28
1493879623,29
1493879624,30
1493879625,31
1493879626,34
1493879627,35
1493879628,36
1493879629,37
1493879630,38
1493879631,39
1493879632,40
1493879633,41
1493879634,42
1493879635,43
1493879636,44
1493879637,45
1493879638,46
1493879639,47
1493879640,48
1493879641,49
1493879642,50
1493879643,51
1493879644,52
1493879645,53
1493879646,54
1493879647,55
1493879648,56
1493879649,57
1493879650,58
1493879651,59
1493879652,60
1493879653,61
1493879654,62
1493879655,63
1493879656,64
1493879657,65
1493884634,0
1493884635,0
1493884636,3
1493884637,3
1493884638,4
1493884639,5
1493884640,8
1493884641,9
1493884642,10
1493884643,11
1493884644,12
1493884645,13
1493884646,14
1493884647,15
1493884648,16
1493884649,17
1493884650,18
1493884651,19
1493884652,20
1493884653,21
1493884654,22
1493884655,23
1493884656,24
1493884657,25
1493884658,26
1493884659,27
1493884660,28
1493884661,29
1493884662,30
1493884663,31
1493884664,34
1493884665,35
1493884666,36
1493884667,37
1493884668,38
1493884669,39
1493884670,40
1493884671,41
1493884672,42
1493884673,43
1493884674,44
1493884675,45
1493884676,46
1493884677,47
1493884678,48
1493884679,49
1493884680,50
1493884681,51
1493884682,52
1493884683,53
1493884684,54
1493884685,55
1493884686,56
1493884687,57
1493884688,58
1493884689,59
1493884690,60
1493884691,61
1493884692,62
1493884693,63
1493884694,64
1493884695,65
1493885207,0
1493885208,0
1493885209,3
1493885210,4
1493885211,5
1493885212,6
1493885213,9
1493885214,10
1493885215,11
1493885216,12
1493885217,13
1493885218,14
1493885219,15
1493885220,16
1493885221,17
1493885222,18
1493885223,19
1493885224,20
1493885225,21
1493885226,22
1493885227,23
1493885228,24
1493885229,25
1493885230,26
1493885231,27
1493885232,28
1493885233,29
1493885234,30
1493885235,31
1493885236,32
1493885237,33
1493885238,36
1493885239,37
1493885240,38
1493885241,39
1493885242,40
1493885243,41
1493885244,42
1493885245,43
1493885246,44
1493885247,45
1493885248,46
1493885249,47
1493885250,48
1493885251,49
1493885252,50
1493885253,51
1493885254,52
1493885255,53
1493885566,0
1493885567,0
1493885568,3
1493885569,4
1493885570,5
1493885571,6
1493885572,9
1493885573,10
1493885574,11
