t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1504495818,19,26760815,12676175.526316,0,13728008.437078,0.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000
1504495819,20,26760815,13380407.500000,0,13728008.437078,13380407.500000,26760815.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000
1504495820,21,26760815,14017569.761905,0,13695283.698192,26760815.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000,26760815.000000
1504502643,1,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502644,2,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502645,3,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502646,4,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502647,5,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502648,6,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502649,7,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502650,8,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502651,9,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502652,10,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1504502653,11,25431990,2311999.090909,0,7668033.500188,0.000000,0.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000
1504502654,12,25431990,4238665.000000,0,9899388.681463,0.000000,0.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000
1504502655,13,25431990,5868920.769231,0,11152665.388218,0.000000,12715995.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000
1504502656,14,25431990,7266282.857143,0,11922700.809156,0.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000
1504502657,15,25431990,8477330.000000,0,12409540.448113,0.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000
1504502658,16,25431990,9536996.250000,0,12715995.000000,0.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000,25431990.000000
